classifier,dataset,n_train,n_test,ts_length,n_classes,ensemble_size,max_window,n_features,fit_time_s,predict_time_s,predict_time_per_sample_ms,peak_fit_mem_mb,accuracy,balanced_accuracy,train_cv_accuracy
WEASEL2_AdaptiveEnsemble,ScreenType,375,375,720,3,75,84,33840,7.0389,4.4472,11.8591,389.06,0.469333,0.469333,-0.694629
WEASEL2_AdaptiveEnsemble,SemgHandGenderCh2,300,600,1500,2,75,84,36574,10.8641,16.0694,26.7824,406.49,0.93,0.926374,-0.281504
WEASEL2_AdaptiveEnsemble,SemgHandMovementCh2,450,450,1500,6,75,84,36574,15.8528,11.9348,26.5218,552.24,0.628889,0.628889,-0.383859
WEASEL2_AdaptiveEnsemble,SemgHandSubjectCh2,450,450,1500,5,75,84,36574,15.9485,11.8729,26.3843,667.04,0.888889,0.888889,-0.193181
WEASEL2_AdaptiveEnsemble,ShapeletSim,20,180,500,2,25,24,10075,0.3053,0.4386,2.4366,6.7,1.0,1.0,-0.563065
WEASEL2_AdaptiveEnsemble,ShapesAll,600,600,512,60,50,84,22976,5.052,2.6762,4.4603,422.32,0.94,0.94,-0.019542
WEASEL2_AdaptiveEnsemble,SmallKitchenAppliances,375,375,720,3,75,84,33851,7.4551,4.6784,12.4756,389.19,0.789333,0.789333,-0.39412
WEASEL2_AdaptiveEnsemble,SmoothSubspace,150,150,15,3,50,15,14127,0.7132,0.0686,0.4573,65.27,0.973333,0.973333,-0.143819
WEASEL2_AdaptiveEnsemble,SonyAIBORobotSurface1,20,601,70,2,25,24,8500,0.2121,0.2314,0.385,5.56,0.948419,0.95433,-0.299297
WEASEL2_AdaptiveEnsemble,SonyAIBORobotSurface2,27,953,65,2,25,24,9257,0.2233,0.3386,0.3553,8.01,0.944386,0.947659,-0.297008
WEASEL2_AdaptiveEnsemble,StarLightCurves,1000,8236,1024,3,75,84,33015,21.2306,147.5527,17.9156,1009.71,0.981666,0.963341,-0.066978
WEASEL2_AdaptiveEnsemble,Strawberry,613,370,235,2,25,84,10533,1.6736,0.4188,1.1318,197.52,0.978378,0.981506,-0.090236
WEASEL2_AdaptiveEnsemble,SwedishLeaf,500,625,128,15,50,84,23107,2.2383,0.7357,1.1771,353.46,0.9712,0.971783,-0.047761
WEASEL2_AdaptiveEnsemble,Symbols,25,995,398,6,50,24,17305,0.6173,3.481,3.4985,14.12,0.98392,0.984188,-0.070837
WEASEL2_AdaptiveEnsemble,SyntheticControl,300,300,60,6,50,44,22214,1.2957,0.2472,0.824,204.11,0.993333,0.993333,-0.081844
WEASEL2_AdaptiveEnsemble,ToeSegmentation1,40,228,277,2,25,24,10406,0.3279,0.3275,1.4365,13.17,0.973684,0.973611,-0.238412
WEASEL2_AdaptiveEnsemble,ToeSegmentation2,36,130,343,2,25,24,10235,0.327,0.2311,1.7777,11.74,0.930769,0.941431,-0.136622
WEASEL2_AdaptiveEnsemble,Trace,100,100,275,4,50,24,20577,1.0359,0.3138,3.1382,63.66,1.0,1.0,-0.027507
WEASEL2_AdaptiveEnsemble,TwoLeadECG,23,1139,82,2,25,24,7136,0.2227,0.5328,0.4678,5.38,1.0,1.0,-0.202203
WEASEL2_AdaptiveEnsemble,TwoPatterns,1000,4000,128,4,50,84,24104,4.0682,4.4687,1.1172,736.43,0.996,0.996006,-0.077838
WEASEL2_AdaptiveEnsemble,UMD,36,144,150,3,50,24,20490,0.5595,0.2442,1.6958,23.26,0.986111,0.986111,-0.175944
WEASEL2_AdaptiveEnsemble,UWaveGestureLibraryAll,896,3582,945,8,75,84,33502,16.8676,53.9386,15.0582,918.22,0.958961,0.959039,-0.079653
WEASEL2_AdaptiveEnsemble,UWaveGestureLibraryX,896,3582,315,8,50,84,21137,5.2874,10.376,2.8967,578.98,0.835567,0.833865,-0.166071
WEASEL2_AdaptiveEnsemble,UWaveGestureLibraryY,896,3582,315,8,50,84,21911,5.3712,10.6334,2.9686,600.14,0.768565,0.76914,-0.207918
WEASEL2_AdaptiveEnsemble,UWaveGestureLibraryZ,896,3582,315,8,50,84,21754,5.2622,10.2092,2.8501,595.85,0.785036,0.786806,-0.194902
WEASEL2_AdaptiveEnsemble,Wafer,1000,6164,152,2,25,84,11762,2.1755,4.4692,0.725,359.41,0.998378,0.992481,-0.008478
WEASEL2_AdaptiveEnsemble,Wine,57,54,234,2,25,24,4417,0.3655,0.0715,1.3248,8.09,0.944444,0.944444,-0.112934
WEASEL2_AdaptiveEnsemble,WordSynonyms,267,638,270,25,50,84,21612,1.8151,1.326,2.0783,177.07,0.725705,0.565972,-0.081134
WEASEL2_AdaptiveEnsemble,Worms,181,77,900,5,75,24,26156,3.9549,1.0001,12.9879,146.4,0.753247,0.669709,-0.32477
WEASEL2_AdaptiveEnsemble,WormsTwoClass,181,77,900,2,75,24,26156,3.9373,1.0009,12.9982,146.39,0.779221,0.780303,-0.538296
WEASEL2_AdaptiveEnsemble,Yoga,300,3000,426,2,25,84,12039,1.2041,5.7637,1.9212,110.77,0.921,0.920142,-0.341644
