classifier,dataset,fit_time_s_baseline,fit_time_s_new,fit_time_s_delta,predict_time_s_baseline,predict_time_s_new,predict_time_s_delta,predict_time_per_sample_ms_baseline,predict_time_per_sample_ms_new,predict_time_per_sample_ms_delta,peak_fit_mem_mb_baseline,peak_fit_mem_mb_new,peak_fit_mem_mb_delta,accuracy_baseline,accuracy_new,accuracy_delta,balanced_accuracy_baseline,balanced_accuracy_new,balanced_accuracy_delta,train_cv_accuracy_baseline,train_cv_accuracy_new,train_cv_accuracy_delta,dataset_type,train_size_bin,series_len_bin,n_classes_bin
WEASEL2_r25,Haptics,2.248,1.4044,-0.8436,2.6205,1.41,-1.2105,8.508,4.5781,-3.9299,101.61,80.19,-21.42,0.49026,0.480519,-0.009741,0.490125,0.47973,-0.010395,-0.529634,-0.508737,0.020897,MOTION,medium (100-500),long (>800),mid (3-9)
WEASEL2_r25,HouseTwenty,1.3029,0.7808,-0.5221,1.8397,1.1038,-0.7359,15.4599,9.2756,-6.1843,34.83,38.27,3.44,0.966387,0.94958,-0.016807,0.96,0.94,-0.02,-0.147795,-0.171114,-0.023319,DEVICE,small (n<100),long (>800),binary (2)
WEASEL2_r25,InlineSkate,2.5138,1.502,-1.0118,8.0122,4.6011,-3.4111,14.5677,8.3656,-6.2021,84.85,86.96,2.11,0.443636,0.421818,-0.021818,0.449845,0.427985,-0.02186,-0.444079,-0.455891,-0.011812,MOTION,small (n<100),long (>800),mid (3-9)
WEASEL2_r25,ItalyPowerDemand,0.4147,0.5603,0.1456,0.472,0.2288,-0.2432,0.4587,0.2223,-0.2364,30.35,29.27,-1.08,0.959184,0.95724,-0.001944,0.959144,0.957189,-0.001955,-0.190887,-0.190609,0.000278,SENSOR,small (n<100),short (<200),binary (2)
WEASEL2_r25,MiddlePhalanxTW,2.5705,0.9023,-1.6682,0.4927,0.1032,-0.3895,3.1995,0.6701,-2.5294,355.5,96.53,-258.97,0.551948,0.564935,0.012987,0.38469,0.393577,0.008887,-0.306022,-0.305725,0.000297,IMAGE,medium (100-500),short (<200),mid (3-9)
WEASEL2_r25,Phoneme,3.0284,1.6587,-1.3697,16.1767,8.3711,-7.8056,8.532,4.4152,-4.1168,127.38,97.51,-29.87,0.347574,0.34019,-0.007384,0.18485,0.180784,-0.004066,-0.095373,-0.094109,0.001264,SOUND,medium (100-500),long (>800),many (10+)
WEASEL2_r25,Rock,1.0783,0.7053,-0.373,1.0809,0.6063,-0.4746,21.6183,12.1259,-9.4924,25.12,21.65,-3.47,0.9,0.92,0.02,0.922619,0.934524,0.011905,-0.363254,-0.36486,-0.001606,SPECTRO,small (n<100),long (>800),mid (3-9)
WEASEL2_r25,SonyAIBORobotSurface1,0.3655,0.1848,-0.1807,0.452,0.2048,-0.2472,0.7522,0.3408,-0.4114,11.39,5.57,-5.82,0.941764,0.948419,0.006655,0.948499,0.95433,0.005831,-0.301207,-0.299297,0.00191,SENSOR,small (n<100),short (<200),binary (2)
WEASEL2_r25,SwedishLeaf,5.2182,1.0508,-4.1674,1.9682,0.3522,-1.616,3.1492,0.5635,-2.5857,872.21,186.37,-685.84,0.976,0.9648,-0.0112,0.976919,0.965974,-0.010945,-0.043859,-0.051778,-0.007919,IMAGE,medium (100-500),short (<200),many (10+)
WEASEL2_r25,UWaveGestureLibraryX,12.1563,2.6595,-9.4968,27.3412,5.2907,-22.0505,7.6329,1.477,-6.1559,1469.18,300.87,-1168.31,0.843384,0.835567,-0.007817,0.841632,0.833857,-0.007775,-0.156302,-0.169229,-0.012927,MOTION,large (n>500),medium (200-800),mid (3-9)
WEASEL2_r50,ACSF1,2.1735,2.337,0.1635,1.2225,1.2754,0.0529,12.2254,12.7542,0.5288,90.57,62.29,-28.28,0.93,0.94,0.01,0.93,0.94,0.01,-0.185615,-0.187007,-0.001392,DEVICE,small (n<100),long (>800),many (10+)
WEASEL2_r50,Adiac,4.4664,1.9576,-2.5088,1.8395,0.6151,-1.2244,4.7045,1.5732,-3.1313,558.83,204.12,-354.71,0.84399,0.828645,-0.015345,0.853155,0.836502,-0.016653,-0.045617,-0.049344,-0.003727,IMAGE,medium (100-500),medium (200-800),many (10+)
WEASEL2_r50,ArrowHead,0.4151,0.5266,0.1115,0.3597,0.3977,0.038,2.0553,2.2727,0.2174,21.63,21.66,0.03,0.857143,0.857143,0.0,0.864643,0.864643,0.0,-0.315629,-0.316231,-0.000602,IMAGE,small (n<100),short (<200),mid (3-9)
WEASEL2_r50,Coffee,0.7606,0.4946,-0.266,0.1059,0.0727,-0.0332,3.7823,2.5949,-1.1874,14.86,14.9,0.04,1.0,1.0,0.0,1.0,1.0,0.0,-0.114697,-0.11435,0.000347,SPECTRO,small (n<100),medium (200-800),binary (2)
WEASEL2_r50,Crop,76.6869,57.9821,-18.7048,18.2702,10.8626,-7.4076,1.0875,0.6466,-0.4409,9836.25,4847.03,-4989.22,0.760655,0.749583,-0.011072,0.760655,0.749583,-0.011072,-0.067833,-0.070384,-0.002551,IMAGE,large (n>500),short (<200),many (10+)
WEASEL2_r50,DistalPhalanxOutlineCorrect,3.8549,2.3624,-1.4925,0.5825,0.2542,-0.3283,2.1103,0.921,-1.1893,703.61,355.73,-347.88,0.775362,0.768116,-0.007246,0.75528,0.749068,-0.006212,-0.403738,-0.406532,-0.002794,IMAGE,large (n>500),short (<200),binary (2)
WEASEL2_r50,EOGHorizontalSignal,16.2202,6.5419,-9.6783,11.2615,4.4586,-6.8029,31.109,12.3165,-18.7925,631.6,365.75,-265.85,0.61326,0.604972,-0.008288,0.613666,0.605973,-0.007693,-0.109162,-0.12051,-0.011348,EOG,medium (100-500),long (>800),many (10+)
