classifier,dataset,fit_time_s_baseline,fit_time_s_new,fit_time_s_delta,predict_time_s_baseline,predict_time_s_new,predict_time_s_delta,predict_time_per_sample_ms_baseline,predict_time_per_sample_ms_new,predict_time_per_sample_ms_delta,peak_fit_mem_mb_baseline,peak_fit_mem_mb_new,peak_fit_mem_mb_delta,accuracy_baseline,accuracy_new,accuracy_delta,balanced_accuracy_baseline,balanced_accuracy_new,balanced_accuracy_delta,train_cv_accuracy_baseline,train_cv_accuracy_new,train_cv_accuracy_delta,n_features_baseline,n_features_new,n_features_delta,dataset_type,train_size_bin,series_len_bin,n_classes_bin
WEASEL2_AdaptiveEnsemble,Lightning2,0.8106,0.5166,-0.294,0.3497,0.1977,-0.152,5.7324,3.2407,-2.4917,36.51,18.87,-17.64,0.721311,0.754098,0.032787,0.709957,0.748377,0.03842,-0.712214,-0.745507,-0.033293,19352.0,9158.0,-10194.0,SENSOR,small (n<100),medium (200-800),binary (2)
WEASEL2_AdaptiveEnsemble,Lightning7,0.9977,1.2848,0.2871,0.3469,0.3462,-0.0007,4.752,4.7426,-0.0094,42.02,42.06,0.04,0.794521,0.780822,-0.013699,0.811195,0.801295,-0.0099,-0.269334,-0.273306,-0.003972,19276.0,19276.0,0.0,SENSOR,small (n<100),medium (200-800),mid (3-9)
WEASEL2_AdaptiveEnsemble,Mallat,1.0173,2.2814,1.2641,20.4378,39.4256,18.9878,8.7155,16.8126,8.0971,32.51,45.55,13.04,0.938166,0.938593,0.000427,0.938817,0.93923,0.000413,-0.101117,-0.096011,0.005106,18549.0,25911.0,7362.0,SIMULATED,small (n<100),long (>800),mid (3-9)
WEASEL2_AdaptiveEnsemble,Meat,0.7099,0.9063,0.1964,0.2494,0.2746,0.0252,4.1575,4.577,0.4195,27.55,27.59,0.04,0.916667,0.916667,0.0,0.916667,0.916667,0.0,-0.076766,-0.076793,-2.7e-05,14555.0,14555.0,0.0,SPECTRO,small (n<100),medium (200-800),mid (3-9)
WEASEL2_AdaptiveEnsemble,MedicalImages,2.6671,2.1888,-0.4783,1.4751,0.8222,-0.6529,1.9409,1.0819,-0.859,489.9,239.99,-249.91,0.780263,0.769737,-0.010526,0.694331,0.662886,-0.031445,-0.154132,-0.156379,-0.002247,42019.0,20573.0,-21446.0,IMAGE,medium (100-500),short (<200),many (10+)
WEASEL2_AdaptiveEnsemble,MiddlePhalanxOutlineAgeGroup,2.7155,1.6084,-1.1071,0.4187,0.133,-0.2857,2.7189,0.8638,-1.8551,353.64,181.54,-172.1,0.61039,0.62987,0.01948,0.475144,0.481287,0.006143,-0.363397,-0.36242,0.000977,28875.0,14816.0,-14059.0,IMAGE,medium (100-500),short (<200),mid (3-9)
WEASEL2_AdaptiveEnsemble,MiddlePhalanxOutlineCorrect,3.6528,1.1998,-2.453,0.6165,0.2122,-0.4043,2.1185,0.7292,-1.3893,581.88,156.74,-425.14,0.831615,0.828179,-0.003436,0.822771,0.816795,-0.005976,-0.43661,-0.429944,0.006666,31714.0,8538.0,-23176.0,IMAGE,large (n>500),short (<200),binary (2)
WEASEL2_AdaptiveEnsemble,MiddlePhalanxTW,2.5705,1.8799,-0.6906,0.4927,0.1526,-0.3401,3.1995,0.9911,-2.2084,355.5,182.58,-172.92,0.551948,0.577922,0.025974,0.38469,0.401733,0.017043,-0.306022,-0.305886,0.000136,29098.0,14937.0,-14161.0,IMAGE,medium (100-500),short (<200),mid (3-9)
WEASEL2_AdaptiveEnsemble,MixedShapesRegularTrain,18.0446,11.7913,-6.2533,64.6516,41.6778,-22.9738,26.6605,17.1867,-9.4738,859.55,530.57,-328.98,0.974845,0.973196,-0.001649,0.973852,0.971636,-0.002216,-0.062227,-0.063244,-0.001017,56071.0,34629.0,-21442.0,IMAGE,medium (100-500),long (>800),mid (3-9)
WEASEL2_AdaptiveEnsemble,MixedShapesSmallTrain,1.626,2.9181,1.2921,21.0231,36.8793,15.8562,8.6693,15.208,6.5387,60.93,85.32,24.39,0.961649,0.962062,0.000413,0.960381,0.961059,0.000678,-0.106769,-0.106792,-2.3e-05,19512.0,27280.0,7768.0,IMAGE,small (n<100),long (>800),mid (3-9)
WEASEL2_AdaptiveEnsemble,MoteStrain,0.3454,0.214,-0.1314,1.009,0.5508,-0.4582,0.8059,0.44,-0.3659,11.47,5.58,-5.89,0.960064,0.958466,-0.001598,0.959566,0.957581,-0.001985,-0.320705,-0.321538,-0.000833,17751.0,8519.0,-9232.0,SENSOR,small (n<100),short (<200),binary (2)
WEASEL2_AdaptiveEnsemble,NonInvasiveFetalECGThorax1,50.0549,30.7226,-19.3323,35.4005,21.4989,-13.9016,18.0155,10.9409,-7.0746,3154.38,1949.28,-1205.1,0.927226,0.922137,-0.005089,0.925766,0.92091,-0.004856,-0.029205,-0.03233,-0.003125,57342.0,35431.0,-21911.0,ECG,large (n>500),medium (200-800),many (10+)
WEASEL2_AdaptiveEnsemble,NonInvasiveFetalECGThorax2,49.1074,29.6088,-19.4986,35.6653,22.4465,-13.2188,18.1503,11.4232,-6.7271,3154.66,1949.94,-1204.72,0.954707,0.946565,-0.008142,0.952463,0.944703,-0.00776,-0.02217,-0.024842,-0.002672,57347.0,35443.0,-21904.0,ECG,large (n>500),medium (200-800),many (10+)
WEASEL2_AdaptiveEnsemble,OSULeaf,1.5664,1.8877,0.3213,0.9637,0.9327,-0.031,3.9823,3.8542,-0.1281,126.6,126.64,0.04,0.966942,0.966942,0.0,0.952899,0.952899,0.0,-0.103544,-0.103626,-8.2e-05,20586.0,20586.0,0.0,IMAGE,medium (100-500),medium (200-800),mid (3-9)
WEASEL2_AdaptiveEnsemble,OliveOil,0.5773,0.7561,0.1788,0.1793,0.1859,0.0066,5.9767,6.1976,0.2209,13.27,13.31,0.04,0.966667,0.966667,0.0,0.979167,0.979167,0.0,-0.266402,-0.266683,-0.000281,13424.0,13419.0,-5.0,SPECTRO,small (n<100),medium (200-800),mid (3-9)
WEASEL2_AdaptiveEnsemble,PhalangesOutlinesCorrect,10.8649,3.4433,-7.4216,1.4237,0.4643,-0.9594,1.6593,0.5412,-1.1181,2126.19,570.92,-1555.27,0.831002,0.824009,-0.006993,0.8044,0.795919,-0.008481,-0.427157,-0.452397,-0.02524,38683.0,10385.0,-28298.0,IMAGE,large (n>500),short (<200),binary (2)
